"authorName","paperTitle","assignedDept","teacherDept","teacherId"
"Sandeep Kumar","Cyclic Loading Behavior of PEEK-HA Bio-Composites: A Finite Element Study for Prosthetic Applications (ICSEM-2025)","Department of Management","Computer Science & Engineering","8567"
"Ashok Kumar Gupta","Bioactive-Based Nanocarriers for Gastrointestinal System Disease","Department of Pharmacy","Medical Sciences","6766"
"Manish Kumar","CPW-fed Ultra-Wideband Antenna for High-Resolution Microwave Imaging in Breast Tumor Detection","Department of Humanities & Social Sciences","Medical Sciences","131"
"Amit Kumar","From concept to shelf: engineering biopolymer-based food packaging for sustainability","Department of Computer Science & Engineering","Humanities & Social Sciences","8524"
"Ashok Kumar Gupta","Comparative Study of the Toxicity Profile in Gallbladder Cancer patients receiving Gemcitabine-Cisplatin versus Paclitaxel-Cisplatin Combination Chemotherapy","Department of Pharmacy","Medical Sciences","6766"
"Mohit Kumar","Innovations in the Production of Multivitamins in Microbial Factories","Department of Life Sciences","Computer Science & Engineering","10953"
"Shashi Bhushan","A Network Based Intrusion Detection System For Internet Of Medical Things Using Deep Learning Approach","Department of Computer Science & Engineering","Medical Sciences","3337"
"Avinash Kumar","Zero Trust Security: Overcoming Obstacles and Leveraging Best Practices","Department of Computer Science & Engineering","Physics","7468"
"Ashok Kumar Gupta","Emerging Zoonoses in Southern India: Ethical imperatives from the 2025 Nipah Virus Crisis","Department of Pharmacy","Medical Sciences","6766"
"Ashok Kumar Gupta","Graphene Nano-Derivatives in Pharmaceuticals and Biomedical Advancements: A Comprehensive Review","Department of Pharmacy","Medical Sciences","6766"
"Avinash Kumar","A Custom Sandbox for Malware Threat Analysis to Safeguard Infrastructure","Department of Computer Science & Engineering","Physics","7468"
"Manish Kumar","Harnessing the Power of IOT for Next-Gen Intelligent Traffic System","Department of Humanities & Social Sciences","Medical Sciences","131"
"Anita Singh","Fuzzy Logic Applications in Sustainable Smart Cities: A Systematic Scientometric Analysis","Department of Medical Sciences","Law","7491"
"Manish Kumar","Enhancing Socio-Economic Development Through Digital Literacy: a Strategic Imperative for Rural Communities","Department of Humanities & Social Sciences","Medical Sciences","131"
"Amit Kumar","RECENT ADVANCES IN AZITHROMYCIN REMOVAL THROUGH THE BIOCHAR","Department of Computer Science & Engineering","Humanities & Social Sciences","8524"
"Anita Singh","“Is digital monitoring” a revolution for employee’s mental well-being? A case on HDFC Bank","Department of Medical Sciences","Law","7491"
"Arun Kumar","Investigating Biomarkers and Molecular Mechanisms in COPD: Perspectives from In-vivo Models","Department of Management","Pharmacy","3944"
"Ashok Kumar Gupta","Assessment of Obesity Indices and Cardiovascular Risk Factors in Type 2 Diabetes Mellitus: A Pilot study from a Tertiary care centre in India","Department of Pharmacy","Medical Sciences","6766"
"Priya Sharma","Exploring the Role of Leguminous Microgreens in Obesity Management with Potential Mechanisms and Clinical Evidence","Department of Computer Science & Engineering","Humanities & Social Sciences","11466"
"Prashant Sharma","The Future of Traffic Management: Embracing AI for Sustainable Urban Mobility","Department of Humanities & Social Sciences","Medical Sciences","230"
"Arun Kumar","An Enhanced Pre-Processing Technique For Eye Image Segmentation","Department of Management","Pharmacy","3944"
"Manoj Kumar","Energy-efficient edge based intrusion detection system using machine learning","Department of Management","Computer Science & Engineering","10946"
"Amit Kumar","Immobilized Naringinase as a Suitable Biocatalyst and an Environment-Friendly Approach for De-bittering of Citrus Juices: Recent Developments and Future Perspectives","Department of Computer Science & Engineering","Humanities & Social Sciences","8524"
"Ashok Kumar","Topic modeling of neuropsychiatric diseases related to gut microbiota and gut brain axis using artificial intelligence based BERTopic model on PubMed abstracts","Department of Law","Physics","4961"
"Arun Kumar","Therapeutic approaches of nanostructure metallic materials in management of colorectal cancer: Recent advancement","Department of Management","Pharmacy","3944"
"Sunil Kumar","Assessment of Sodium Butyrate’s Pharmacological Effects on Gentamicin-induced Nephrotic Disorders in a Rat Model","Department of Civil Engineering","Computer Science & Engineering","4741"
"Amit Kumar","Exploring Sustainable Waste Solutions: Evaluating Mixing Ratios in Agitated Pile Composting with Sugarcane Agro-Industrial Waste","Department of Computer Science & Engineering","Humanities & Social Sciences","8524"
"Urmila Devi Bhardwaj","Evaluating the levels of C-reactive protein (CRP) among post vaccinated subjects of COVID-19 vaccine: A cohort study","Department of Nursing Sciences","NA","6767"
"Neha Tyagi","Impact of Premenstrual Syndrome (PMS) on Quality of Life among adolescent girls of rural area of Gautam Buddh Nagar: A Cross sectional study","Department of Medical Sciences","Computer Science & Engineering","5112"
"Ashok Kumar Gupta","Prevalence of depression in hypertensive patients and its associated factors in India: A systematic review and meta-analysis; Prevalencia de la depresión en pacientes hipertensos y sus factores asociados en la India: una revisión sistemática y un metaanálisis","Department of Pharmacy","Medical Sciences","6766"
"Anita Singh","Unleashing the ethical and legal implications of e-business revolution: Consumer privacy and security concerns in phase of digital disruption","Department of Medical Sciences","Law","7491"
"Ajit Kumar","Droplet impact characteristics on hydrophobic surfaces with partial electrowetting effects","Department of Humanities & Social Sciences","Mechanical Engineering","10948"
"Arun Kumar","Recent Advancements in Gallic Acid-Based Drug Delivery: Applications, Clinical Trials, and Future Directions","Department of Management","Pharmacy","3944"
"Pooja Singh","Evaluating the electrochemical boost and antimicrobial power of biogenic zinc oxide-polyaniline nanocomposite","Department of Management","Humanities & Social Sciences","12783"
"Shashi Bhushan","Rare case of early neonatal sepsis caused by Candida krusei successfully treated with voriconazole","Department of Computer Science & Engineering","Medical Sciences","3337"
"Amit Kumar","Citric acid: fermentative production using organic wastes as feedstocks","Department of Computer Science & Engineering","Humanities & Social Sciences","8524"
"Arun Kumar","Recent Review on Biological Barriers and Host–Material Interfaces in Precision Drug Delivery: Advancement in Biomaterial Engineering for Better Treatment Therapies","Department of Management","Pharmacy","3944"
"Amit Kumar","Utilizing E-Waste as a Sustainable Aggregate in Concrete Production: A Review","Department of Computer Science & Engineering","Humanities & Social Sciences","8524"
"Manish Kumar","A comparative study of dielectric substrate materials effects on the performance of microstrip patch antenna for 5G/6G application","Department of Humanities & Social Sciences","Medical Sciences","131"
"Arun Kumar","Emerging Trends in the Treatment of Skin Disorders by Herbal Drugs: Traditional and Nanotechnological Approach","Department of Management","Pharmacy","3944"
"Abhay Tiwari","Halogenated Secondary Metabolites from Higher Plants: Potent Drug Candidates for Chikungunya Using in silico Approaches","Department of Biotechnology","Humanities & Social Sciences","8900"
"Ashok Kumar Gupta","Chitosan based nanocarriers as a promising tool in treatment and management of inflammatory diseases","Department of Pharmacy","Medical Sciences","6766"
"Sunil Kumar","Applications of bentonite in plastic concrete: a comprehensive study on enhancing workability and predicting compressive strength using hybridized AI models","Department of Civil Engineering","Computer Science & Engineering","4741"
"Amit Kumar","Comparative assessment on lignocellulose degrading enzymes and bioethanol production from spent mushroom substrate of Calocybe indica and Volvariella volvacea","Department of Computer Science & Engineering","Humanities & Social Sciences","8524"
"Ajay Kumar","Intellectual Structure of Export Orientation in International Marketing: A Bibliometric Coupling; Estrutura Intelectual da Orientação Exportadora em Marketing Internacional: Um Acoplamento Bibliométrico","Department of Management","Chemistry and Biochemistry","6354"
"Arun Kumar","An analysis of stock price prediction techniques","Department of Management","Pharmacy","3944"
"Deepak Bansal","A Study of Awareness and Perception Regarding MOOC Courses with Special Reference to NPTEL","Department of Management","Law","12866"
"Amit Kumar","Optimization of xylanase production by Bacillus sp. MCC2212 under solid-state fermentation using response surface methodology","Department of Computer Science & Engineering","Humanities & Social Sciences","8524"
"Amit Kumar","Butyric acid: fermentation production using organic waste as low-cost feedstocks","Department of Computer Science & Engineering","Humanities & Social Sciences","8524"
"Krishan Kumar","Dementia Alzheimer's Disease Diagnosis Using Convolutional Neural Networks on Two-Dimensional MRI Slices","Department of Computer Science & Engineering","Architecture","3240"
"Satish Kumar","Reducing Environmental Plastic Pollution by Designing Polymer Materials for Managed End-of-Life","Department of Physics","Medical Sciences","123"
"Ritu Singh","Waste peanut shells derived activated carbon for dual electrochemical applications","Department of Medical Sciences","Humanities & Social Sciences","9327"
"Sandeep Kumar","Mechanisms and prospects of piezoelectric materials as smart delivery vehicles in cancer treatment","Department of Management","Computer Science & Engineering","8567"
"Amit Kumar","Microbial production of lactic acid using organic wastes as low-cost substrates","Department of Computer Science & Engineering","Humanities & Social Sciences","8524"
"Ashok Kumar","Acoustic Signal Processing and Communications: Topic Modeling of Scopus Abstracts from 2010 till 2024","Department of Law","Physics","4961"
"Ashok Kumar","Image Compression for Communication: Topic Modelling of Scopus Abstracts Using BERTopic","Department of Law","Physics","4961"
"Krishan Kumar","Comprehensive Review of Breast Cancer for Precision Oncology","Department of Computer Science & Engineering","Architecture","3240"
"Anita Singh","Technology-Driven Learning System in Higher Education: A Bibliometric Analysis","Department of Medical Sciences","Law","7491"
"Amit Kumar","Optimization of fermentation media constituents for higher production of naringinase by Paenibacillus stellifer RAMCM-44 using Response Surface Methodology","Department of Computer Science & Engineering","Humanities & Social Sciences","8524"
"Ajay Kumar","Exploring the Predictors of Intention to Purchase Electric Vehicles","Department of Management","Chemistry and Biochemistry","6354"
"Manish Kumar","Design and Analysis of a Defected Ground Structure T-Shaped Patch Antenna for IMT, WLAN, 5G, and 6G Applications","Department of Humanities & Social Sciences","Medical Sciences","131"
"Mohit Kumar","Application of machine learning/deep learning in healthcare","Department of Life Sciences","Computer Science & Engineering","10953"
"Ritu Singh","Deepfakes, Deception and the Law: Unraveling the Legal Complexities of AI-Generated Content","Department of Medical Sciences","Humanities & Social Sciences","9327"
"Ashok Kumar","Future Directions Applications of Artificial Intelligence in Material Deformation and Fracture","Department of Law","Physics","4961"
"Rakesh Kumar","Minimally invasive percutaneous technique for harvesting iliac crest graft using a tap and drill sleeve","Department of Medical Sciences","Civil Engineering","6957"
"Ashok Kumar Gupta","Bioinformatics Tools to Study Homology Modeling","Department of Pharmacy","Medical Sciences","6766"
"Deepak Bansal","Sentiment Analysis Approach through Artificial Intelligence Based Machine Learning for Movie Review","Department of Management","Law","12866"
"Komal Sharma","Forensic optometry: A new era called bionic eye","Department of Nursing Sciences","Allied Health Science","7706"
"Ajay Kumar","Application of theory of planned behaviour in determining attitude and to measure purchase intention under the fear of Covid-19","Department of Management","Chemistry and Biochemistry","6354"
"Richa Sharma","Transformative Impact of Artificial Intelligence and Cybersecurity on Bitcoin's Trajectory","Department of Mathematics","Biotechnology","4763"
"Ashok Kumar","Melody Extraction from MIDI Files Using AI-ML Techniques","Department of Law","Physics","4961"
"Ashok Kumar","Forensic Acoustic Applications of Siamese Neural Networks for determining Lineal Relationships between Normal and Spectrally Disguised Voices","Department of Law","Physics","4961"
"Ajay Kumar","Unlocking Growth: The Synergy of Marketing Analytics and Operations","Department of Management","Chemistry and Biochemistry","6354"
"Priya Sharma","Assessment of Inter-Individual Pharmacokinetic Variability of Voriconazole Based on Bile Salt Disparities using POP-PK Modeling","Department of Computer Science & Engineering","Humanities & Social Sciences","11466"
"Ashok Kumar Gupta","Smart Targeted Novel Nanocarriers-Based Treatment of Arthritis","Department of Pharmacy","Medical Sciences","6766"
"Divya Rastogi","Anomaly Detection in Medical Images Using Deep Reinforcement Learning","Department of Management","Computer Science & Engineering","9639"
"Priya Sharma","Computation of Big Data Security through Cross-Layer Techniques","Department of Computer Science & Engineering","Humanities & Social Sciences","11466"
"Ankur Khandelwal","Brain Regional Energy Metabolism in Patients with Traumatic Brain Injury: A Cerebral Microdialysis Guided Study","Department of Medical Sciences","NA","6787"
"Ashok Kumar Gupta","A Systemic Review on Photodynamic Therapy: Emerging Technology with Healing Process","Department of Pharmacy","Medical Sciences","6766"
"Ashok Kumar","Evaluating Static Bone Cysts (SBCs) Through Long-Term Volumetric Analysis Using CBCT: A Study with 6-Month Follow-Up","Department of Law","Physics","4961"
"Priya Sharma","Deep Learning-Enabled Image Segmentation for Precise Retinopathy Diagnosis","Department of Computer Science & Engineering","Humanities & Social Sciences","11466"
"Priya Sharma","Performance Evaluation of Virtual Machine and Container-Based Migration Technique","Department of Computer Science & Engineering","Humanities & Social Sciences","11466"
"Amit Kumar","Global organic acids production and their industrial applications","Department of Computer Science & Engineering","Humanities & Social Sciences","8524"
"Amit Kumar","Malic acid: fermentative production and applications","Department of Computer Science & Engineering","Humanities & Social Sciences","8524"
"Amit Kumar","Microbial production of lactic acid using organic wastes as low-cost substrates","Department of Computer Science & Engineering","Humanities & Social Sciences","8524"
"Amit Kumar","Citric acid: fermentative production using organic wastes as feedstocks","Department of Computer Science & Engineering","Humanities & Social Sciences","8524"
"Amit Kumar","Microbial Organic Acids Production: Utilizing Waste Feedstocks","Department of Computer Science & Engineering","Humanities & Social Sciences","8524"
"Amit Kumar","Butyric acid: fermentation production using organic waste as low-cost feedstocks","Department of Computer Science & Engineering","Humanities & Social Sciences","8524"
"Amit Kumar","Recent developments in biohydrogen production from wastewater: A review","Department of Computer Science & Engineering","Humanities & Social Sciences","8524"
"Amit Kumar","Synbiotics as potent functional food: recent updates on therapeutic potential and mechanistic insight","Department of Computer Science & Engineering","Humanities & Social Sciences","8524"
"Amit Kumar","Malic acid: fermentative production and applications","Department of Computer Science & Engineering","Humanities & Social Sciences","8524"
"Anita Singh","Yoga’s Miraculous Biopsychosocial Impact on People With Intellectual and Developmental Disabilities: Scaling Cognitive and Health Promotion","Department of Medical Sciences","Law","7491"
"Manish Kumar","Asymmetrical CPW-Fed Meander Lines Patch Antenna for ISM/IMT/WiMAX, WLAN, WAIC, C-Band, and 6G Mid-Band Applications","Department of Humanities & Social Sciences","Medical Sciences","131"
"Krishan Kumar","Optimizing Cross-Platform Development with CI/CD and Containerization: A Review","Department of Computer Science & Engineering","Architecture","3240"
"Krishan Kumar","Voice Controlled Autonomous Vehicle: Execution on a Small Scale","Department of Computer Science & Engineering","Architecture","3240"
"Deepak Bansal","Sustainable Finance in Action: Pathways to Long-Term Business Growth in India","Department of Management","Law","12866"
"Arun Kumar","Artificial intelligence and emotional intelligence in the workplace: Their roles and effects for industry 4.O","Department of Management","Pharmacy","3944"
"Sunil Kumar","INVESTIGATING SODIUM BUTYRATE’S ANTIOXIDANT POTENTIAL FOR THE MANAGEMENT OF GENTAMICIN-INDUCED NEPHROTIC DISORDERS","Department of Civil Engineering","Computer Science & Engineering","4741"
"Pooja Singh","A dimensional mapping and comparative study of CSRs and SDGs in emerging economies","Department of Management","Humanities & Social Sciences","12783"
"Ajay Kumar","Exploring the role of simulation based education in management studies for NEP 2020","Department of Management","Chemistry and Biochemistry","6354"
"Ashok Kumar","Using 3D CNN for classification of Parkinson’s disease from resting-state fMRI data","Department of Law","Physics","4961"
"Ajay Kumar","Young consumer engagement at the bottom of pyramid: applying S-O-R framework in e-commerce context","Department of Management","Chemistry and Biochemistry","6354"
"Avinash Kumar","Comparative analysis of machine learning techniques for air quality index prediction for Indian cities","Department of Computer Science & Engineering","Physics","7468"
"Ashok Kumar Gupta","CANCER-ASSOCIATED THROMBOSIS: AN OVERVIEW OF THROMBOSIS MECHANISMS AND ITS RISK FACTORS IN CANCER","Department of Pharmacy","Medical Sciences","6766"
"Shalini Srivastava","Quality of Life and Its Determinants Among Diabetic Patients in A Rural Area of Gautam Buddha Nagar, Uttar Pradesh, India","Department of Environmental Science","Medical Sciences","250"
"Arun Kumar","On the zero-divisor hypergraph of a reduced ring","Department of Management","Pharmacy","3944"
"Manish Kumar","Herbal and Ayurvedic Plants as Remedial Approach for Viral Diseases with Focus on COVID-19: A Narrative Review","Department of Humanities & Social Sciences","Medical Sciences","131"
"Avinash Kumar","Towards a Secure and Sustainable Internet of Medical Things (IoMT): Requirements, Design Challenges, Security Techniques, and Future Trends","Department of Computer Science & Engineering","Physics","7468"
"Satinder Aneja","In-hospital mortality risk stratification in children aged under 5 years with pneumonia with or without pulse oximetry: A secondary analysis of the Pneumonia REsearch Partnership to Assess WHO REcommendations (PREPARE) dataset","Department of Medical Sciences","NA","4002"
"Sandeep Kumar","Role of CO2 triggered switchable polarity solvents and supercritical solvents during biofuel extraction","Department of Management","Computer Science & Engineering","8567"
"Ajay Kumar","Role of mall attractiveness in shaping fashion shopping orientation of apparel shoppers: a segmentation approach","Department of Management","Chemistry and Biochemistry","6354"
"Sunil Kumar","PHARMACOLOGICAL STUDY OF SODIUM BUTYRATE FOR ACTIVE POTENTIAL FOR RENAL DISORDERS","Department of Civil Engineering","Computer Science & Engineering","4741"
"Deepak Khandelwal","Comprehensive Goals, Role and Duties of a Dental Chairside Assistant","Department of Dental Science","NA","5526"
"Ashok Kumar Gupta","Prevalence of depression and associated factors among HIV/AIDS patients in India: a systematic review and meta-analysis","Department of Pharmacy","Medical Sciences","6766"
"Pooja Singh","Modelling the Domains of Artificial Intelligence on Social Good: A Study on Analytic-Based Hierarchy","Department of Management","Humanities & Social Sciences","12783"
"Divya Rastogi","Assessing the Effectiveness of Predictive Maintenance for Internet of Things (IoT) Networks Using Reinforcement Learning","Department of Management","Computer Science & Engineering","9639"
"Richa Sharma","Application of Internet of Things and Machine Learning in Improving Supply Chain Financial Risk Management System","Department of Mathematics","Biotechnology","4763"
"Swati Sharma","An Exploratory Research Comparing Oral Health, Pattern of Substance Abuse and Nicotine Dependence among LGBT, Female Sex Workers and Heterogenders","Department of Medical Sciences","Dental Science","297"
"Ashok Kumar Gupta","The Impacts and Changes Related to the Cancer Drug Resistance Mechanism","Department of Pharmacy","Medical Sciences","6766"
"Priya Sharma","Evaluation of the impact of age-specific bile salt differences on the dissolution behavior of voriconazole using biorelevant media","Department of Computer Science & Engineering","Humanities & Social Sciences","11466"
"Pooja Singh","A conceptual study of association factors contributing to the stress level of parents during the pandemic era in NCR","Department of Management","Humanities & Social Sciences","12783"
"Amit Kumar","Global organic acids production and their industrial applications","Department of Computer Science & Engineering","Humanities & Social Sciences","8524"
"Arun Kumar","Incorporating AI and IoT for Smart Poultry Monitoring and Health Detection","Department of Management","Pharmacy","3944"
"Ashok Kumar","Silver and Gold Nanoparticles for the Development of Fingerprints","Department of Law","Physics","4961"
"Ashok Kumar Gupta","Modified Polysaccharides and their Biomedical Applications: Advancement and Strategies","Department of Pharmacy","Medical Sciences","6766"
"Avinash Kumar","Blockchain-based decentralized management of IoT devices for preserving data integrity","Department of Computer Science & Engineering","Physics","7468"
"Avinash Kumar","Integrated machine learning techniques for preserving privacy in Internet of Things (IoT) systems","Department of Computer Science & Engineering","Physics","7468"
"Avinash Kumar","Blockchain embedded security and privacy preserving in healthcare systems","Department of Computer Science & Engineering","Physics","7468"
"Ankur Sharma","Cyclodextrin-based dermatological formulations: Dermopharmaceutical and cosmetic applications","Department of Medical Sciences","Life Sciences","5123"
"Ajay Kumar","ARTIFICIAL INTELLIGENCE AND ITS APPLICATIONS IN E-COMMERCE – A REVIEW ANALYSIS AND RESEARCH AGENDA","Department of Management","Chemistry and Biochemistry","6354"
"Sandeep Kumar","3D-QSAR, E-pharmacophore and molecular docking to explore substituted sulfonamides as carbonic anhydrase inhibitors in epilepsy","Department of Management","Computer Science & Engineering","8567"
"Anoop Raj","Menopause and its Effect on Voice","Department of Medical Sciences","NA","3419"
"Satinder Aneja","Treatment of benzodiazepine-resistant status epilepticus: Systematic review and network meta-analyses","Department of Medical Sciences","NA","4002"
"Satinder Aneja","Thrombosis and thromboembolism: Brighton collaboration case definition and guidelines for data collection, analysis, and presentation of immunization safety data","Department of Medical Sciences","NA","4002"
"Sandeep Kumar","Electric Poling Effect on Piezocatalytic BaTiO3/Polymer Composites for Coatings","Department of Management","Computer Science & Engineering","8567"
"Suparna Dubey","Necrotizing Fascitis-A Tale of Two Cases","Department of Medical Sciences","NA","218"
"Shubhangi Gupta","Necrotizing Fascitis-A Tale of Two Cases","Department of Medical Sciences","NA","5043"
"Veereshwar Bhatnagar","Role of Diffusion Weighted MRI (DW-MR) in Detection of Satellite Lesions Not Detected with Multiphase CT Scans in Hepatoblastoma and Its Implications for Management","Department of Art and Science","NA","5497"
"Sandeep Kumar","Multifaceted Perspectives and Advancements of CO2 Capturing Switchable Polarity Solvents and Supercritical Solvents","Department of Management","Computer Science & Engineering","8567"
"Aarti Srivastava","Evaluating the Effect of Duloxetine Premedication on Postoperative Analgesic Requirement in Patients Undergoing Laparoscopic Cholecystectomies: A Prospective, Randomized, Double-Blinded, Placebo-Controlled Study","Department of Medical Sciences","NA","46"
"Komal Sharma","Survey of patient’s opinion on eyeglasses and eye care in the semi-urban population of South-Delhi India","Department of Nursing Sciences","Allied Health Science","7706"
"Priya Tomar","Knowledge, Attitude, and Practices among Front‑Line Health‑Care Workers in a COVID Hospital: An Online Questionnaire‑Based Cross‑Sectional Study","Department of Medical Sciences","NA","4468"
"Ritu Singh","Histological Analysis of Coronary Atherosclerosis at Division: A Cadaveric Study","Department of Medical Sciences","Humanities & Social Sciences","9327"
"Ritu Singh","Perforators of the arm to provide anatomical basis to skin flaps: A cadaveric study","Department of Medical Sciences","Humanities & Social Sciences","9327"
"Pooja Singh","Perforators of the arm to provide anatomical basis to skin flaps: A cadaveric study","Department of Management","Humanities & Social Sciences","12783"
"Veereshwar Bhatnagar","Impact of cytomegalovirus infection on short-term clinical outcomes and operative histopathology in infants with biliary atresia: A single-center prospective cohort study","Department of Medical Sciences","NA","5497"
"Ankur Sharma","Expanding arsenal against diabetes mellitus through nanoformulations loaded with glimepiride and simvastatin: A comparative study","Department of Medical Sciences","Life Sciences","5123"
"Shalini Srivastava","Perceptions of Undergraduate Medical Students towards Online Learning in a Medical College in the National Capital Region (NCR), India","Department of Environmental Science","Medical Sciences","250"
"Anita Singh","E-learning: A tool for sustainability in the education industry","Department of Medical Sciences","Law","7491"
"Richa Sharma","E-learning: A tool for sustainability in the education industry","Department of Mathematics","Biotechnology","4763"
"Ankur Sharma","Stem cell and tissue engineering: Application of machine learning","Department of Medical Sciences","Life Sciences","5123"
"Ankur Sharma","The role of machine learning in the food industry","Department of Medical Sciences","Life Sciences","5123"
"Ajoy Deshmukh","Serum Ferritin in Metabolic Syndrome—Mechanisms and Clinical Applications","Department of Medical Sciences","NA","100"
"Satinder Aneja","Derivation and validation of a novel risk assessment tool to identify children aged 2-59 months at risk of hospitalised pneumonia-related mortality in 20 countries","Department of Medical Sciences","NA","4002"
"Sheeba Ali","Oral Microbiome and Adverse Pregnancy Outcomes: An Update","Department of Dental Science","NA","6952"
"Ankur Sharma","Selective Targeting of the Novel CK-10 Nanoparticles to the MDA-MB-231 Breast Cancer Cells","Department of Medical Sciences","Life Sciences","5123"
"Supriya Awasthi","Fire investigation: Arson or accidental","Department of Allied Health Science","NA","366"
"Supriya Awasthi","Investigation of disaster victim identification","Department of Allied Health Science","NA","366"
"Satinder Aneja","Point Prevalence of Peripheral Neuropathy in Children and Adolescents with Type 1 Diabetes Mellitus","Department of Art and Science","NA","4002"
"Richa Sharma","Allium sativum (GARLIC) AND Azadirachta indica (NEEM) BASED FUNCTIONAL EDIBLE COATING TO IMPROVE THE SHELF-LIFE OF FRUITS AND VEGETABLES","Department of Mathematics","Biotechnology","4763"
"Jaskaran Singh","Crime Scene Management within Forensic science","Department of Allied Health Science","NA","7010"
"Satinder Aneja","Assembling a global database of child pneumonia studies to inform WHO pneumonia management algorithm: Methodology and applications","Department of Medical Sciences","NA","4002"
"Kapil Choudhary","Comparison between the effects of Maitland's mobilization versus its combination with vastus medialis oblique neuromuscular stimulation on two scales (NPRS & WOMAC) in knee osteoarthritis patients","Department of Allied Health Science","NA","365"
"Supriya Awasthi","Comparison between the effects of Maitland's mobilization versus its combination with vastus medialis oblique neuromuscular stimulation on two scales (NPRS & WOMAC) in knee osteoarthritis patients","Department of Allied Health Science","NA","366"
"Avinash Kumar","Blockchain Assisted Secure Data Sharing in Intelligent Transportation Systems","Department of Computer Science & Engineering","Physics","7468"
"Komal Sharma","Ocular morbidity pattern in Kashmir – A hospital-based study","Department of Nursing Sciences","Allied Health Science","7706"
"Komal Sharma","Effect of long-term exposure of digital devices during the COVID-19 pandemic and on ocular health","Department of Nursing Sciences","Allied Health Science","7706"
"Amit Kumar","Schizophyllum commune: A Fungal Cell-factory for Production of Valuable Metabolites and Enzymes","Department of Computer Science & Engineering","Humanities & Social Sciences","8524"
"Sunil Kumar","Lane and Vehicle Detection Using Hough Transform and YOLOv3","Department of Civil Engineering","Computer Science & Engineering","4741"
"Sahil Thakar","Lateral Cephalometric Assessment of Facial Soft tissue Thickness for Craniofacial Reconstruction in an Indian Population-А Retrospective Study","Department of Dental Science","NA","4980"
"Ashok Kumar","Handwriting Slant Determination Using Convolutional Neural Networks and Transfer Learning","Department of Law","Physics","4961"
"Ajay Kumar","Understanding the Factors Influencing Repurchase Intention in Online Shopping: A Meta-analytic Review","Department of Management","Chemistry and Biochemistry","6354"
"Anil Kumar","Status of Industry 4.0 applications in healthcare 4.0 and Pharma 4.0","Department of Management","Mechanical Engineering","6038"
"Ankur Sharma","Optimization Studies on Imatinib Mesylate Loaded Nanoliposomes Using Box-Behnken Design","Department of Medical Sciences","Life Sciences","5123"
"Ankur Sharma","Metabolic Dysregulation and Sperm Motility in Male Infertility","Department of Medical Sciences","Life Sciences","5123"
"Sunil Kumar","A Survey on Information Distortion of COVID19: Applying Machine Learning and Natural Language Processing","Department of Civil Engineering","Computer Science & Engineering","4741"
"Deepak Khandelwal","An In Vitro Study to Compare the Release of Fluoride from Glass Ionomer Cement (Fuji IX) and Zirconomer","Department of Dental Science","NA","5526"
"Avinash Kumar","Quantum Computing for Health Care: A Review on Implementation Trends and Recent Advances","Department of Computer Science & Engineering","Physics","7468"
"Avinash Kumar","Quantum Blockchain Approach for Security Enhancement in Cyberworld","Department of Computer Science & Engineering","Physics","7468"
"Ritu Singh","Unusual additional distal aponeurotic slips of biceps brachii: A rare variation","Department of Medical Sciences","Humanities & Social Sciences","9327"
"Ankur Sharma","Molecular mechanisms of developmental pathways in neurological disorders: A pharmacological and therapeutic review","Department of Medical Sciences","Life Sciences","5123"
"Neha Tyagi","Placement Analysis—A New Approach to Ease the Recruitment Process","Department of Medical Sciences","Computer Science & Engineering","5112"
"Neha Tyagi","Continuous Assessment Analyzer Using Django","Department of Medical Sciences","Computer Science & Engineering","5112"
"Avinash Kumar","Preventing and Detecting Intrusion of Cyberattacks in Smart Grid by Integrating Blockchain","Department of Computer Science & Engineering","Physics","7468"
"Avinash Kumar","Preserving Security and Privacy in IoT Using Machine Learning and Trust Management","Department of Computer Science & Engineering","Physics","7468"
"Avinash Kumar","Machine Learning and Deep Learning Models for Privacy Management and Data Analysis in Smart Cites","Department of Computer Science & Engineering","Physics","7468"
"Ashok Kumar","An inventory model for decaying items with Pareto distribution, time-dependent demand and shortages","Department of Law","Physics","4961"
"Sandeep Kumar","Synthesis and evaluation of antiepileptic activity of newly designed coumarin-sulfonamide hybrids","Department of Management","Computer Science & Engineering","8567"
"Jaskaran Singh","Enzyme-based sensing on nanohybrid film coated over FTO electrode for highly sensitive detection of antibiotics","Department of Allied Health Science","NA","7010"
"Ankur Sharma","Tlr-mediated signal transduction and neurodegenerative disorders","Department of Medical Sciences","Life Sciences","5123"
"Satinder Aneja","The Status of Early Childhood Development in India: Will We Reach the Countdown to 2030 Targets?","Department of Medical Sciences","NA","4002"
"Ankur Sharma","Microfluidic platforms to unravel mysteries of alzheimer’s disease: How far have we come?","Department of Medical Sciences","Life Sciences","5123"
"Ankur Sharma","Advances in pulmonary drug delivery targeting microbial biofilms in respiratory diseases","Department of Medical Sciences","Life Sciences","5123"
"Satinder Aneja","Hypoxic ischaemic encephalopathy in low resource settings—time to stop cooling?","Department of Medical Sciences","NA","4002"
"Ashok Kumar","Classification of Multiple Myeloma Cancer Cells Using Convolutional Neural Networks and Transfer Learning","Department of Law","Physics","4961"
"Ankur Sharma","Effects of curcumin-loaded poly(lactic-co-glycolic acid) nanoparticles in MDA-MB231 human breast cancer cells","Department of Medical Sciences","Life Sciences","5123"
